Venta_ID,Producto_ID,Nombre,TipoPrecio,Cantidad,PrecioUnitario,Subtotal,CostoUnitario,Utilidad
1,IMP-1,dexketoprofeno bebible,unidad,1,10.00,10.00,0,0
2,IMP-2,dropadex,unidad,1,10.00,10.00,0,0
3,IMP-3,toma de azucar,unidad,1,10.00,10.00,0,0
4,IMP-4,dorival,unidad,1,4.00,4.00,0,0
5,IMP-5,tetraciclina,unidad,1,8.00,8.00,0,0
6,IMP-6,acetaminofen,unidad,1,8.00,8.00,0,0
7,IMP-7,jeringa y aguja,unidad,1,1.50,1.50,0,0
8,IMP-8,piroxicam,unidad,1,6.00,6.00,0,0
9,IMP-9,bonket,unidad,1,15.00,15.00,0,0
10,IMP-10,dexa,unidad,1,8.00,8.00,0,0
11,IMP-11,vitaminas,unidad,1,50.00,50.00,0,0
12,IMP-12,trilox,unidad,1,23.00,23.00,0,0
13,IMP-13,jeringa y aguja,unidad,1,1.50,1.50,0,0
14,IMP-14,diclofenaco,unidad,1,7.00,7.00,0,0
15,IMP-15,suero sobre,unidad,1,3.00,3.00,0,0
16,IMP-16,multivitaminico para mujer,unidad,1,15.00,15.00,0,0
17,IMP-17,blister de vitamina e,unidad,1,20.00,20.00,0,0
18,IMP-18,scnidazol,unidad,1,10.00,10.00,0,0
19,IMP-19,trimetropin+sulfametxol,unidad,1,18.00,18.00,0,0
20,IMP-20,simeticona,unidad,1,20.00,20.00,0,0
21,IMP-21,jeringas,unidad,3,1.00,3.00,0,0
22,IMP-22,amixicilina,unidad,1,15.00,15.00,0,0
23,IMP-23,pepto bismol,unidad,2,2.00,4.00,0,0
24,IMP-24,sueros vitaminados,unidad,2,3.00,6.00,0,0
25,IMP-25,dolo-nervisel,unidad,1,1.00,1.00,0,0
26,IMP-26,acetaminofen,unidad,2,1.00,2.00,0,0
27,IMP-27,mascarrilla,unidad,1,1.00,1.00,0,0
28,IMP-28,dipirona,unidad,3,7.00,21.00,0,0
29,IMP-29,dexa,unidad,3,8.00,24.00,0,0
30,IMP-30,jeringas,unidad,3,1.00,3.00,0,0
31,IMP-31,agujas,unidad,3,0.50,1.50,0,0
32,IMP-32,ibuwin,unidad,4,1.50,6.00,0,0
33,IMP-33,acetaminofen,unidad,1,1.00,1.00,0,0
34,IMP-34,mascarrilla,unidad,2,1.00,2.00,0,0
35,IMP-35,dolo calambril,unidad,1,12.00,12.00,0,0
36,IMP-36,dolo-nervisel,unidad,1,20.00,20.00,0,0
37,IMP-37,vitaflenaco,unidad,1,3.00,3.00,0,0
38,IMP-38,bismutos,unidad,2,0.50,1.00,0,0
39,IMP-39,zorritone,unidad,1,1.00,1.00,0,0
40,IMP-40,virogrip,unidad,2,5.00,10.00,0,0
41,IMP-41,dulces vick,unidad,3,1.00,3.00,0,0
42,IMP-42,amoxi+acido,unidad,1,35.00,35.00,0,0
43,IMP-43,zorritone,unidad,1,1.00,1.00,0,0
44,IMP-44,jeringas,unidad,2,1.00,2.00,0,0
45,IMP-45,pediaflora,unidad,1,14.00,14.00,0,0
46,IMP-46,bismutos,unidad,6,0.50,3.00,0,0
47,IMP-47,curitas,unidad,1,1.00,1.00,0,0
48,IMP-48,pares de guantes,unidad,2,2.00,4.00,0,0
49,IMP-49,hidravida,unidad,1,18.00,18.00,0,0
50,IMP-50,acetaminofen,unidad,1,5.00,5.00,0,0
51,IMP-51,ceftriaxona,unidad,1,17.00,17.00,0,0
52,IMP-52,dipirona,unidad,1,7.00,7.00,0,0
53,IMP-53,jeringa y aguja,unidad,1,2.00,2.00,0,0
54,IMP-54,micropore,unidad,1,9.00,9.00,0,0
55,IMP-55,dolo-nuerobión,unidad,1,3.00,3.00,0,0
56,IMP-56,virogrip,unidad,1,5.00,5.00,0,0
57,IMP-57,albendazol,unidad,1,8.00,8.00,0,0
58,IMP-58,dolo-nervisel,unidad,1,20.00,20.00,0,0
59,IMP-59,agujas,unidad,1,0.50,0.50,0,0
60,IMP-60,vitamina c,unidad,2,10.00,20.00,0,0
61,IMP-61,cacao,unidad,1,2.00,2.00,0,0
62,IMP-62,vick,unidad,2,1.00,2.00,0,0
63,IMP-63,desloratadina,unidad,1,8.00,8.00,0,0
64,IMP-64,complejo b,unidad,2,10.00,20.00,0,0
65,IMP-65,virogrip,unidad,1,5.00,5.00,0,0
66,IMP-66,dolo-nervisel,unidad,1,10.00,10.00,0,0
67,IMP-67,jeringas,unidad,4,1.00,4.00,0,0
68,IMP-68,diclofenaco,unidad,2,1.00,2.00,0,0
69,IMP-69,neomelubrina,unidad,1,4.00,4.00,0,0
70,IMP-70,uniact 3 meses,unidad,1,50.00,50.00,0,0
71,IMP-71,zorritones,unidad,1,1.00,1.00,0,0
72,IMP-72,clotriplex,unidad,1,10.00,10.00,0,0
73,IMP-73,trimetropin+sulfametxol,unidad,1,10.00,10.00,0,0
74,IMP-74,ibuwin,unidad,2,1.50,3.00,0,0
75,IMP-75,azitromicina,unidad,1,15.00,15.00,0,0
76,IMP-76,blister de diclofenaco,unidad,1,7.00,7.00,0,0
77,IMP-77,acetaminofen,unidad,2,5.00,10.00,0,0
78,IMP-78,ceftriaxona,unidad,2,17.00,34.00,0,0
79,IMP-79,inyectada,unidad,1,7.00,7.00,0,0
80,IMP-80,jeringa y aguja,unidad,1,4.00,4.00,0,0
81,IMP-81,exflu,unidad,1,36.00,36.00,0,0
82,IMP-82,inyeccion,unidad,1,26.00,26.00,0,0
83,IMP-83,dexketroprofeno,unidad,2,10.00,20.00,0,0
84,IMP-84,dolo neurobion,unidad,1,3.50,3.50,0,0
85,IMP-85,diclofenaco,unidad,2,1.00,2.00,0,0
86,IMP-86,nervisel,unidad,1,14.00,14.00,0,0
87,IMP-87,jeringa,unidad,1,1.00,1.00,0,0
88,IMP-88,amicicilina+acido clavulanico,unidad,1,35.00,35.00,0,0
89,IMP-89,inyectada,unidad,1,10.00,10.00,0,0
90,IMP-90,diclofenaco gel,unidad,3,1.00,3.00,0,0
91,IMP-91,blister de ibuprofeno gel,unidad,1,7.00,7.00,0,0
92,IMP-92,tramadol,unidad,1,10.00,10.00,0,0
93,IMP-93,dexketopofeno bebible,unidad,2,10.00,20.00,0,0
94,IMP-94,blister de ibuwin forte,unidad,1,16.00,16.00,0,0
95,IMP-95,ibuwin,unidad,2,1.50,3.00,0,0
96,IMP-96,solución salina,unidad,1,15.00,15.00,0,0
97,IMP-97,jeringa,unidad,1,1.50,1.50,0,0
98,IMP-98,pares de guantes,unidad,2,2.00,4.00,0,0
99,IMP-99,urin,unidad,1,5.00,5.00,0,0
100,IMP-100,dexketoprofeno bebible,unidad,1,10.00,10.00,0,0
101,IMP-101,suero,unidad,1,3.00,3.00,0,0
102,IMP-102,dexketoprofeno bebible,unidad,1,10.00,10.00,0,0
103,IMP-103,desloratadina,unidad,1,8.00,8.00,0,0
104,IMP-104,virogrip,unidad,1,5.00,5.00,0,0
105,IMP-105,IRS JR,unidad,1,65.00,65.00,0,0
106,IMP-106,mascarrilla,unidad,3,1.00,3.00,0,0
107,IMP-107,cofal,unidad,1,8.00,8.00,0,0
108,IMP-108,alka seltzer,unidad,2,2.00,4.00,0,0
109,IMP-109,virogrip,unidad,1,5.00,5.00,0,0
110,IMP-110,sostengo,unidad,1,10.00,10.00,0,0
111,IMP-111,virogrip,unidad,1,5.00,5.00,0,0
112,IMP-112,tabcin,unidad,1,5.00,5.00,0,0
113,IMP-113,tetraciclina,unidad,1,8.00,8.00,0,0
114,IMP-114,alcohol,unidad,1,1.00,1.00,0,0
115,IMP-115,prueba de embarazo,unidad,1,25.00,25.00,0,0
116,IMP-116,vitaflenaco,unidad,2,3.00,6.00,0,0
117,IMP-117,toma de presión,unidad,1,5.00,5.00,0,0
118,IMP-118,pares de guantes,unidad,2,2.00,4.00,0,0
119,IMP-119,nuerobión,unidad,1,15.00,15.00,0,0
120,IMP-120,virogrip,unidad,1,5.00,5.00,0,0
121,IMP-121,sanirenal,unidad,1,11.00,11.00,0,0
122,IMP-122,enzitrol,unidad,1,10.00,10.00,0,0
123,IMP-123,toma de presión,unidad,1,5.00,5.00,0,0
124,IMP-124,jeringa,unidad,1,1.50,1.50,0,0
125,IMP-125,URIN,unidad,1,5.00,5.00,0,0
126,IMP-126,SUKLOL VIGOR,unidad,1,50.00,50.00,0,0
127,IMP-127,Complejo b tbs,unidad,1,7.00,7.00,0,0
128,IMP-128,ibuwin,unidad,2,1.50,3.00,0,0
129,IMP-129,amoxi+acido,unidad,1,30.00,30.00,0,0
130,IMP-130,pulmo calcio,unidad,1,8.00,8.00,0,0
131,IMP-131,par de guantes,unidad,1,2.00,2.00,0,0
132,IMP-132,pares de guantes,unidad,2,2.00,4.00,0,0
133,IMP-133,neoferiba,unidad,1,35.00,35.00,0,0
134,IMP-134,amoxi+acido,unidad,2,5.00,10.00,0,0
135,IMP-135,dolo-nuerobión,unidad,1,3.00,3.00,0,0
136,IMP-136,hidravida,unidad,1,18.00,18.00,0,0
137,IMP-137,neomelubrina,unidad,1,2.00,2.00,0,0
138,IMP-138,clotriplex,unidad,1,10.00,10.00,0,0
139,IMP-139,clotriplex,unidad,1,10.00,10.00,0,0
140,IMP-140,dolo-nervisel,unidad,1,20.00,20.00,0,0
141,IMP-141,neurotropas,unidad,1,15.00,15.00,0,0
142,IMP-142,jabon asepxia,unidad,1,35.00,35.00,0,0
143,IMP-143,gasas,unidad,2,1.00,2.00,0,0
